query_name,market_hash_name,pattern_families,paint_seed,seed_confidence,overall_confidence,ask,ask_seller_net,base_ask_mean_10,base_ask_n,market_overpay_mult,market_overpay_pct,expected_overpay_mult,expected_overpay_pct,overpay_gap_mult,overpay_gap_pct,expected_price,edge_abs,edge_ratio,float_value,listing_id,asset_id,scm_total_listings,converted_price,converted_fee,converted_currencyid,asset_properties_json,target_notes
AWP | Electric Hive,AWP | Electric Hive (Factory New),Max Orange | Max Blue,384,0.8,0.8,192.51,167.4,188.371,10,1.0219725966311162,0.02197259663111617,1.7,0.7,0.6780274033688838,0.6780274033688838,320.2307,127.72070000000002,0.6634496909251468,0.03252482414246,653725574925633304,1947610051,64,16740,2511,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Factory New),Max Orange | Max Blue,611,0.8,0.8,391.17,340.16,188.371,10,2.0765935308513517,1.0765935308513517,1.7,0.7,-0.3765935308513517,-0.3765935308513517,320.2307,-70.9393,-0.18135158626684045,0.0589067004621,770813104949904348,49102616211,64,34016,5101,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Field-Tested),Max Orange | Max Blue,611,0.8,0.8,54.3,47.22,42.596000000000004,10,1.2747675838106862,0.2747675838106862,1.7,0.7,0.42523241618931373,0.42523241618931373,72.4132,18.113200000000006,0.3335764272559856,0.26728489995003,648095441393129850,50720515969,74,4722,708,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Field-Tested),Max Orange | Max Blue,902,0.8,0.8,74.75,65.0,42.596000000000004,10,1.7548596112311015,0.7548596112311015,2.0,1.0,0.24514038876889854,0.24514038876889854,85.19200000000001,10.442000000000007,0.13969230769230778,0.15666888654232,778695395221454541,48026382651,74,6500,975,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Field-Tested),Max Orange | Max Blue,598,0.8,0.8,102.36,89.01,42.596000000000004,10,2.403042539205559,1.403042539205559,2.0,1.0,-0.403042539205559,-0.403042539205559,85.19200000000001,-17.167999999999992,-0.1677217663149667,0.16689501702785,635708640145736023,49450252735,74,8901,1335,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Field-Tested),Max Orange | Max Blue,540,0.8,0.8,128.34,111.6,42.596000000000004,10,3.012958963282937,2.012958963282937,1.7,0.7,-1.3129589632829373,-1.3129589632829373,72.4132,-55.9268,-0.43577060931899636,0.17110358178616,685236278172527739,16824880123,74,11160,1674,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Field-Tested),Max Orange | Max Blue,96,0.8,0.8,345.0,300.0,42.596000000000004,10,8.099352051835853,7.099352051835853,1.7,0.7,-6.399352051835852,-6.399352051835852,72.4132,-272.5868,-0.7901066666666666,0.3652600646019,764052989536872977,45613813835,74,30000,4500,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Minimal Wear),Max Orange | Max Blue,376,0.8,0.8,69.17,60.16,51.54299999999999,10,1.3419863026987178,0.34198630269871777,1.7,0.7,0.3580136973012822,0.3580136973012822,87.62309999999998,18.453099999999978,0.26677895041202815,0.107446603477,556898911186500061,47538771563,72,6016,901,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Minimal Wear),Max Orange | Max Blue,385,0.8,0.8,427.77,371.99,51.54299999999999,10,8.299284092893313,7.299284092893313,2.0,1.0,-6.299284092893313,-6.299284092893313,103.08599999999998,-324.68399999999997,-0.7590153587208079,0.0790111348033,635708009625032571,40354240095,72,37199,5578,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | Electric Hive,AWP | Electric Hive (Minimal Wear),Max Orange | Max Blue,138,0.8,0.8,1791.32,1557.68,51.54299999999999,10,34.753894806278254,33.753894806278254,2.0,1.0,-32.753894806278254,-32.753894806278254,103.08599999999998,-1688.234,-0.9424524931335552,0.12844048440456,630083017705704894,49770979885,72,155768,23364,2003,,Orange/Blue pattern market жив давно; max orange — один из core patterns.; Max blue обычно интереснее именно для pattern-sniping.
AWP | PAW,AWP | PAW (Battle-Scarred),Gold Cat | Stoner Cat | Gold Grenade | Cat Knife | Gas Mask,97,0.8,0.8,3.87,3.38,3.003,10,1.2887112887112886,0.2887112887112886,1.6,0.6000000000000001,0.3112887112887115,0.3112887112887115,4.8048,0.9348000000000001,0.2415503875968994,0.48849678039551,636833909538607116,49828971450,79,338,49,2003,,"Самый ясный и ликвидный PAW-motif. Часто проще всего для поисков по Steam.; Мемный, но recognised motif. Иногда misprice встречается из-за слабой верификации seller'ом.; Второй эшелон PAW patterns, collector premium есть, но спрос уже уже.; Нишевая, но известная вариация.; Pattern premium реальный, но более niche, чем Gold Cat."
AWP | PAW,AWP | PAW (Battle-Scarred),Gold Cat | Stoner Cat | Gold Grenade | Cat Knife | Gas Mask,900,0.8,0.8,14.76,12.84,3.003,10,4.915084915084915,3.9150849150849147,1.6,0.6000000000000001,-3.3150849150849147,-3.3150849150849147,4.8048,-9.9552,-0.6744715447154471,0.49322825670242,785452138020961531,47547874484,79,1284,192,2003,,"Самый ясный и ликвидный PAW-motif. Часто проще всего для поисков по Steam.; Мемный, но recognised motif. Иногда misprice встречается из-за слабой верификации seller'ом.; Второй эшелон PAW patterns, collector premium есть, но спрос уже уже.; Нишевая, но известная вариация.; Pattern premium реальный, но более niche, чем Gold Cat."
