item,pattern_family,seed_list,premium_band,scan_priority,notes,sources
"AK-47 | Case Hardened","Blue Gem Tier 1","661;151;955;321;387;670;179","extreme","A","Классический blue-gem benchmark. Даже без ценового фильтра это один из главных паттернов для контроля misprice.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Five-SeveN | Case Hardened","Blue Gem Top","278;690","very high","A","Уже не ножевой сегмент, но premium всё ещё очень большой и рынок seed-aware.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"MAC-10 | Case Hardened","Blue Gem Top","95;19;251;239;295;748;890;406;807;199;831","high","A","Из дешёвых CH-носителей один из лучших кандидатов на Steam-поиск, потому что база ниже, а редкие seeds ценятся сильно выше.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://pricempire.com/guides/mac10-case-hardened-guide"
"Karambit | Case Hardened","Blue Gem","387;73;269;442;463;510;776;809;853;888;905","extreme","A","Топ knife blue gem. #387 — canonical #1, Rank 1/2 seeds тоже очень ценятся.","https://steamcommunity.com/sharedfiles/filedetails/?id=2948564018 ; https://www.steamanalyst.com/guides/blue-gem"
"Butterfly Knife | Case Hardened","Blue Gem","182;494;194;283;330;694;703;838;891;913;917","extreme","A","Очень сильный knife pattern-market. Даже Tier 1/Tier 2 часто торгуются с серьёзным premium.","https://steamcommunity.com/sharedfiles/filedetails/?id=3087097250 ; https://www.steamanalyst.com/guides/blue-gem"
"Flip Knife | Case Hardened","Blue Gem","670;321;151;592;661;555","very high","A","Один из самых узнаваемых CH knife cases; #670 — исторический top seed.","https://steamcommunity.com/sharedfiles/filedetails/?id=3088588867 ; https://www.steamanalyst.com/guides/blue-gem"
"Talon Knife | Case Hardened","Blue Gem","55;923;241;819;602;899;222;528;10;837;185;3;311;805","extreme","A","Talon blue gem очень дорогой и highly seed-sensitive. #55 — лучший, #923/#241 тоже ключевые.","https://steamcommunity.com/sharedfiles/filedetails/?id=3089709897 ; https://www.steamanalyst.com/guides/blue-gem"
"Kukri Knife | Case Hardened","Blue Gem","494;575;770","very high","A","Для Kukri top end компактнее: #494 — best pattern, #575 и #770 — notable high tier.","https://steamcommunity.com/sharedfiles/filedetails/?id=3229119705 ; https://www.steamanalyst.com/guides/blue-gem"
"Classic Knife | Case Hardened","Blue Gem","403;449;58;681;169;456;601;316;577;634;281","very high","A","Для classic knife есть явный #1 и довольно читаемый пул Tier 1.","https://steamcommunity.com/sharedfiles/filedetails/?id=3234771078 ; https://www.steamanalyst.com/guides/blue-gem"
"Skeleton Knife | Case Hardened","Blue Gem","403;681;456;169;316;577;58","very high","A","Skeleton blue gems торгуются активно, а top patterns хорошо описаны по tier-структуре.","https://steamcommunity.com/sharedfiles/filedetails/?id=3087138888 ; https://www.steamanalyst.com/guides/blue-gem"
"Nomad Knife | Case Hardened","Blue Gem","577;456;169;681;55;403;922;704;316;850;628;187;668","very high","A","У nomad есть внятный #1/#2 и понятная Tier 1 группа; хороший high-ticket scan target.","https://steamcommunity.com/sharedfiles/filedetails/?id=3089706915 ; https://www.steamanalyst.com/guides/blue-gem"
"Survival Knife | Case Hardened","Blue Gem","403;456;169;681;316;577;281;634;585;583","high","A","Менее ликвиден, чем karambit/bfk, но всё равно real blue-gem market.","https://steamcommunity.com/sharedfiles/filedetails/?id=3089705604 ; https://www.steamanalyst.com/guides/blue-gem"
"Bayonet | Case Hardened","Blue Gem Tier 1","555;592;670;151;179","very high","A","Классический knife CH-tier list, премия высокая.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"M9 Bayonet | Case Hardened","Blue Gem Tier 1","601;417","extreme","A","Мало top seeds и очень сильный premium на хорошие экземпляры.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Gut Knife | Case Hardened","Blue Gem Tier 1","567;962;125;60","high","B","Не топ-ликвидность, но strong seed premium существует.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Huntsman Knife | Case Hardened","Blue Gem Tier 1","618;652;721;29","very high","B","Старый и понятный CH-knife niche.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Falchion Knife | Case Hardened","Blue Gem Tier 1","494;838;638;891;371;917;868;283;112;398;130;182;749","high","B","Tier-лист длиннее, но premium на топовые seeds есть.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Bowie Knife | Case Hardened","Blue Gem Tier 1","182;398","very high","B","Небольшой top list и довольно recognisable premium case.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Shadow Daggers | Case Hardened","Blue Gem Tier 1","56;505;866;417;609","high","B","Даже на daggers top CH seeds дают заметный premium.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://www.steamanalyst.com/guides/blue-gem"
"Five-SeveN | Kami","Top / meme / collector","909;590;662;348;601;836;376;411","high","A","Главный non-knife meme case. #909 — strongest collector seed; остальные тоже узнаваемы у pattern-рынка.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://steamcommunity.com/sharedfiles/filedetails/?id=2885119564 ; https://www.dexerto.com/csgo/csgo-pistol-skin-sells-for-over-1000-because-players-call-it-the-psy-pattern-2126583/"
"AWP | PAW","Gold Cat","41;350","high","A","Самый ясный и ликвидный PAW-motif. Часто проще всего для поисков по Steam.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://profilerr.net/awp-paw-golden-cat-patterns/"
"AWP | PAW","Stoner Cat","420;415;710;788","medium-high","A","Мемный, но recognised motif. Иногда misprice встречается из-за слабой верификации seller'ом.","https://csdb.gg/all-cs2-rare-skin-patterns-full-list ; https://profilerr.net/awp-paw-golden-cat-patterns/"
